Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
1513,124.25,48.75,Drought,-0.2749749097689034,-0.122863662919853,-0.1521112468490503,-0.2084351665135939,-0.0493170666460266,-0.1591180998675674
1514,124.75,48.75,Drought,-0.2696000677148464,0.0103274084562651,-0.2799274761711116,-0.2633846769902893,-0.0944374685604234,-0.1689472084298657
1515,125.25,48.75,Drought,-0.2286404211898259,-0.0543410033093975,-0.1742994178804284,-0.2187698864706231,-0.0529432419095442,-0.1658266445610789
1516,125.75,48.75,Drought,-0.1180896647179899,0.009765634242725,-0.1278552989607149,-0.2114410269268344,-0.1297420806211056,-0.0816989463057287
1517,126.25,48.75,Drought,-0.3626528626839643,-0.0762739507429959,-0.2863789119409684,-0.2399277907440876,-0.0733868147740094,-0.1665409759700782
1518,126.75,48.75,Drought,-0.1838304065663863,-0.0054341759641355,-0.1783962306022507,-0.1757314916281489,0.0618348918564313,-0.2375663834845802
1519,127.25,48.75,Drought,-0.1979731968398067,-0.0067195853128717,-0.191253611526935,-0.1918566776887098,-0.0890157571758955,-0.1028409205128142
1520,127.75,48.75,Drought,-0.272320874867243,-0.0058731871029605,-0.2664476877642825,-0.149265899301588,0.006938881961448,-0.156204781263036
1521,128.25,48.75,Drought,-0.3756713719868755,0.028303429767109,-0.4039748017539846,-0.3148762725392903,-0.0019589358189599,-0.3129173367203303
1522,128.75,48.75,Drought,-0.2159558705031592,0.0098137995605619,-0.2257696700637212,-0.2214834173456785,-0.0019404021459788,-0.2195430151996997
1523,129.25,48.75,Drought,-0.3503106023523539,0.0014673919288824,-0.3517779942812364,-0.5949067350700787,0.1076291656186182,-0.702535900688697
1524,129.75,48.75,Drought,-0.3256546235811046,0.0821569812093743,-0.4078116047904789,-0.3459947884587971,0.0180133225870783,-0.3640081110458756
1525,130.25,48.75,Drought,-0.3183428085145978,-0.045984621165336,-0.2723581873492617,-0.3325832335097394,-0.1045690047462714,-0.2280142287634679
1564,85.75,48.25,Drought,-0.2625473722633716,-0.0278714980468705,-0.234675874216501,-0.4008150752496095,-0.0754898450996002,-0.3253252301500092
1565,86.25,48.25,Drought,-0.3431298572246968,-0.2738694689944937,-0.069260388230203,-0.301613396348995,-0.1794327742255139,-0.122180622123481
1566,86.75,48.25,Drought,-0.270654106526543,-0.0136881888055978,-0.2569659177209452,-0.3811327366049858,-0.1502261882600441,-0.2309065483449416
1567,87.25,48.25,Drought,-0.0985174240207341,0.0937427984720648,-0.192260222492799,0.0042281276692788,-0.0359388442322988,0.0401669719015776
1568,87.75,48.25,Drought,-0.2348949045389544,0.0366377489778944,-0.2715326535168489,-0.2710024582001408,0.0268394745816606,-0.2978419327818015
1569,88.25,48.25,Drought,-0.27637794583359,0.0297752863692553,-0.3061532322028453,-0.1098445569980635,0.028171181669467,-0.1380157386675305
1625,116.25,48.25,Drought,-0.1597219390103586,0.003074649878918,-0.1627965888892767,-0.2223852942227281,0.1150151891765304,-0.3374004833992586
1626,116.75,48.25,Drought,-0.0788602113945457,0.1181230431054917,-0.1969832545000375,-0.2514762074510261,0.0114438861584046,-0.2629200936094308
1627,117.25,48.25,Drought,-0.1778103433026481,0.076411577202601,-0.2542219205052491,-0.4438887748174029,0.0454071406664686,-0.4892959154838716
1628,117.75,48.25,Drought,-0.0517267184285223,0.0209039782227197,-0.072630696651242,-0.0723615103226667,0.00053613290903,-0.0728976432316967
1629,118.25,48.25,Drought,-0.0664085154362504,0.0763077468946425,-0.142716262330893,0.0123945754270561,0.0363105224512439,-0.0239159470241877
1630,118.75,48.25,Drought,-0.2720639032032245,0.0280513110733823,-0.3001152142766068,-0.1198315265745198,0.0393927964005838,-0.1592243229751037
1631,119.25,48.25,Drought,-0.4107121545551451,-0.0785321602772688,-0.3321799942778762,-0.6662746320110823,0.0212143183724523,-0.6874889503835347
1632,119.75,48.25,Drought,-0.2039095060294823,0.1896749818197491,-0.3935844878492315,-0.279654325069525,0.1362667900910737,-0.4159211151605988
1633,120.25,48.25,Drought,-0.1663820391417372,0.0633736341000367,-0.229755673241774,-0.1951615618598288,0.0175330681499375,-0.2126946300097664
1634,120.75,48.25,Drought,-0.3301202022530763,0.0256288129105571,-0.3557490151636335,-1.2575837539011046,-0.0158207090070759,-1.2417630448940284
1635,121.25,48.25,Drought,-0.2074867964026767,0.0121883611072899,-0.2196751575099666,-0.2549112455294589,0.0029775060644957,-0.2578887515939546
1636,121.75,48.25,Drought,-0.2086911476052298,0.0086872982124577,-0.2173784458176876,-0.187344156138269,0.0211550261690429,-0.208499182307312
1637,122.25,48.25,Drought,-0.2627839320923083,-0.0338434192096895,-0.2289405128826187,-0.309595754256765,-0.0175210393066851,-0.2920747149500799
1638,122.75,48.25,Drought,-0.2923706354336446,-0.0397735597735598,-0.2525970756600847,-0.197593720502807,-0.0067343049477944,-0.1908594155550126
1639,123.25,48.25,Drought,-0.1819071852680326,0.0345757178361753,-0.2164829031042079,-0.1787071521366829,-0.0021112745224459,-0.1765958776142369
1640,123.75,48.25,Drought,-0.2416376451455525,-0.0456104868360374,-0.1960271583095151,-0.3216603513708601,-0.1447267328140985,-0.1769336185567616
